PROJECT NAME, INSTANCE NAME , ZONE
lt-clc-lwr,vlclcdv002,northamerica-northeast1-a
lt-clc-lwr,vlclcdv003,northamerica-northeast1-a
lt-clc-lwr,vlclcdv004,northamerica-northeast1-a
lt-clc-lwr,vlclcdv005,northamerica-northeast1-a
lt-clc-lwr,vlclcgst001,northamerica-northeast1-b
lt-clc-upr,vlclcpr001,northamerica-northeast1-a
lt-clc-upr,vlclcpr002,northamerica-northeast1-a
lt-clc-upr,vlclcpr003,northamerica-northeast1-a
lt-clc-upr,vlclcpr004,northamerica-northeast1-a
lt-clc-upr,vlclcpr005,northamerica-northeast1-a
lt-clc-upr,vlclcgpt001,northamerica-northeast1-b
lt-clc-upr,vlclcprpt006,northamerica-northeast1-b
lt-clc-upr,vlfenpr001,northamerica-northeast1-b
lt-clgsol-sap-tools,vlclgsoltlsupr001,northamerica-northeast1-b
lt-datagov-prd,vldatagovprd001,northamerica-northeast1-b
lt-datagov-val,vldatagovval001,northamerica-northeast1-b
lt-dia-abi-data-exp,instance-test,northamerica-northeast1-a
lt-dia-abi-data-exp,vlabilakpr001,northamerica-northeast1-a
lt-dia-abi-data-exp,vlabilakpr002,northamerica-northeast1-b
lt-dia-abi-data-exp,vlabimrg001,northamerica-northeast1-b
lt-dia-abi-data-exp,vlabival001,northamerica-northeast1-b
lt-dia-abi-data-prod,vlabilakpr003,northamerica-northeast1-b
lt-dia-abi-data-val,vlabilakpr002,northamerica-northeast1-b
lt-dia-abi-int-exp,abint-ai-notebook,northamerica-northeast1-a
lt-dia-abi-int-exp,vlabisex001,northamerica-northeast1-b
lt-dia-aimlcoe-dis-upr,vlcoepr001,northamerica-northeast1-a
lt-dia-aimlcoe-dis-upr,vlcoepr002,northamerica-northeast1-a
lt-dia-aimlcoe-dis-upr,vlcoepr003,northamerica-northeast1-a
lt-dia-aimlcoe-dis-upr,vlcoepr004,northamerica-northeast1-a
